BinCenter;Histo01;Histo02;Histo03;Histo04
64556.5;19;2302;2302;0
64569.5;22;3092;3092;0
64582.5;20;3462;3462;0
64595.5;22;3692;3692;0
64608.5;18;3889;3889;0
64621.5;19;3780;3780;0
64634.5;28;3988;3988;0
64647.5;14;4053;4053;0
64660.5;23;4322;4322;0
64673.5;17;4647;4647;0
64686.5;27;4888;4888;0
64699.5;22;5375;5375;0
64712.5;10;5965;5965;0
64725.5;15;6401;6401;0
64738.5;19;6583;6583;0
64751.5;12;6778;6778;0
64764.5;21;7144;7144;0
64777.5;21;7152;7152;0
64790.5;18;7218;7218;0
64803.5;17;7087;7087;0
64816.5;13;6831;6831;0
64829.5;21;6371;6371;0
64842.5;17;5986;5986;0
64855.5;21;5266;5266;0
64868.5;26;4765;4765;0
64881.5;14;3975;3975;0
64894.5;19;3553;3553;0
64907.5;17;2914;2914;0
64920.5;23;2570;2570;0
64933.5;22;2309;2309;0
64946.5;17;2026;2026;0
64959.5;17;1694;1694;0
64972.5;16;1720;1720;0
64985.5;17;1578;1578;0
64998.5;16;1596;1596;0
65011.5;19;1502;1502;0
65024.5;27;1392;1392;0
65037.5;11;1439;1439;0
65050.5;21;1336;1336;0
65063.5;16;1341;1341;0
65076.5;19;1226;1226;0
65089.5;22;1242;1242;0
65102.5;11;1188;1188;0
65115.5;14;1063;1063;0
65128.5;20;1063;1063;0
65141.5;20;967;967;0
65154.5;23;901;901;0
65167.5;23;829;829;0
65180.5;19;741;741;0
65193.5;15;689;689;0
65206.5;10;611;611;0
65219.5;17;546;546;0
65232.5;17;536;536;0
65245.5;19;415;415;0
65258.5;22;438;438;0
65271.5;22;343;343;0
65284.5;18;317;317;0
65297.5;19;295;295;0
65310.5;17;270;270;0
65323.5;13;258;258;0
65336.5;15;227;227;0
65349.5;18;230;230;0
65362.5;21;220;220;0
65375.5;23;172;172;0
65388.5;13;156;156;0
65401.5;15;142;142;0
65414.5;17;143;143;0
65427.5;18;146;146;0
65440.5;21;114;114;0
