BinCenter;Histo01;Histo02;Histo03;Histo04
65206.5;37;31;31;0
65219.5;45;29;29;0
65232.5;32;37;37;0
65245.5;37;42;42;0
65258.5;33;45;45;0
65271.5;28;31;31;0
65284.5;32;32;32;0
65297.5;41;34;34;0
65310.5;29;27;27;0
65323.5;39;32;32;0
65336.5;42;40;40;0
65349.5;40;38;38;0
65362.5;29;35;35;0
65375.5;40;36;36;0
65388.5;27;36;36;0
65401.5;31;36;36;0
65414.5;34;31;31;0
65427.5;35;37;37;0
65440.5;35;22;22;0
65453.5;26;34;34;0
65466.5;30;39;39;0
65479.5;33;39;39;0
65492.5;33;39;39;0
65505.5;39;43;43;0
65518.5;31;40;40;0
65531.5;29;55;55;0
65544.5;27;49;49;0
65557.5;26;39;39;0
65570.5;26;39;39;0
65583.5;39;49;49;0
65596.5;38;37;37;0
65609.5;43;39;39;0
65622.5;43;37;37;0
65635.5;27;35;35;0
65648.5;26;37;37;0
65661.5;32;29;29;0
65674.5;33;40;40;0
65687.5;26;40;40;0
65700.5;28;48;48;0
65713.5;33;45;45;0
65726.5;23;38;38;0
65739.5;25;31;31;0
65752.5;30;50;50;0
65765.5;31;44;44;0
65778.5;24;61;61;0
65791.5;25;32;32;0
65804.5;27;45;45;0
65817.5;31;39;39;0
65830.5;37;46;46;0
65843.5;23;47;47;0
65856.5;37;44;44;0
65869.5;27;49;49;0
65882.5;30;52;52;0
65895.5;28;34;34;0
65908.5;30;52;52;0
65921.5;30;37;37;0
65934.5;39;31;31;0
65947.5;22;46;46;0
65960.5;38;47;47;0
65973.5;17;41;41;0
65986.5;27;45;45;0
65999.5;25;39;39;0
66012.5;28;38;38;0
66025.5;27;38;38;0
66038.5;23;40;40;0
66051.5;32;40;40;0
66064.5;23;36;36;0
66077.5;28;51;51;0
66090.5;24;33;33;0
66103.5;31;35;35;0
66116.5;29;40;40;0
66129.5;25;33;33;0
66142.5;24;34;34;0
66155.5;31;41;41;0
66168.5;34;36;36;0
66181.5;27;36;36;0
66194.5;25;43;43;0
66207.5;29;38;38;0
